,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
41,2023-03-14,20:00,Champions Lg,Round of 16,Tue,Home,W,7,0,de RB Leipzig,8.0,5,1.0,5.0,2.0,5.0,14.0,35.7,9.0,6.0,0.0,6.0,6,14,3.0,1.0,Match Report
42,2023-03-18,17:45,FA Cup,Quarter-finals,Sat,Home,W,6,0,Burnley,,12,,,,,,,,,,,11,0,,,Match Report
43,2023-04-01,12:30,Premier League,Matchweek 29,Sat,Home,W,4,1,Liverpool,7.0,0,2.0,4.0,1.0,0.0,10.0,0.0,10.0,9.0,3.0,6.0,4,11,11.0,0.0,Match Report
44,2023-04-08,17:30,Premier League,Matchweek 30,Sat,Away,W,4,1,Southampton,9.0,7,6.0,3.0,0.0,6.0,19.0,31.6,13.0,8.0,1.0,7.0,6,15,4.0,0.0,Match Report
45,2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Home,W,3,0,de Bayern Munich,29.0,16,11.0,8.0,10.0,16.0,30.0,53.3,14.0,11.0,5.0,6.0,6,35,18.0,0.0,Match Report
46,2023-04-15,17:30,Premier League,Matchweek 31,Sat,Home,W,3,1,Leicester City,11.0,6,4.0,4.0,3.0,5.0,15.0,33.3,10.0,9.0,3.0,6.0,1,12,9.0,1.0,Match Report
47,2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Away,D,1,1,de Bayern Munich,13.0,10,5.0,7.0,1.0,9.0,25.0,36.0,16.0,11.0,3.0,8.0,7,20,18.0,0.0,Match Report
48,2023-04-22,16:45,FA Cup,Semi-finals,Sat,Neutral,W,3,0,Sheffield Utd,,9,,,,,,,,,,,4,0,,,Match Report
49,2023-04-26,20:00,Premier League,Matchweek 33,Wed,Home,W,4,1,Arsenal,11.0,8,7.0,4.0,0.0,3.0,12.0,25.0,9.0,7.0,2.0,5.0,9,20,8.0,0.0,Match Report
50,2023-04-30,14:00,Premier League,Matchweek 34,Sun,Away,W,2,1,Fulham,14.0,10,5.0,7.0,2.0,3.0,9.0,33.3,6.0,9.0,2.0,7.0,5,19,15.0,0.0,Match Report
51,2023-05-03,20:00,Premier League,Matchweek 28,Wed,Home,W,3,0,West Ham,16.0,9,3.0,8.0,5.0,9.0,15.0,60.0,6.0,7.0,1.0,6.0,5,21,12.0,0.0,Match Report
52,,,,,,,38-8-6,136,41,,563.0,427,211.0,241.0,111.0,255.0,534.0,47.8,279.0,375.0,93.0,282.0,347,827,418.0,8.0,
