,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 36_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
36,2023-02-22,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,de RB Leipzig,4,1,3,75.0,0.0,1.1,0.1,0,0,0,0,4.0,7.0,57.1,30.0,3.0,20.0,27.5,3.0,33.3,37.3,7.0,0.0,0.0,0.0,8.5,Match Report
37,2023-02-25,17:30,Premier League,Matchweek 25,Sat,Away,W,4,1,Bournemouth,2,1,1,50.0,0.0,0.7,-0.3,0,0,0,0,4.0,5.0,80.0,26.0,7.0,11.5,22.7,7.0,28.6,33.1,14.0,2.0,14.3,1.0,10.0,Match Report
38,2023-02-28,20:00,FA Cup,Fifth round proper,Tue,Away,W,3,0,Bristol City,1,0,1,100.0,2.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
39,2023-03-04,12:30,Premier League,Matchweek 26,Sat,Home,W,2,0,Newcastle Utd,2,0,2,100.0,1.0,0.4,0.4,0,0,0,0,10.0,16.0,62.5,28.0,1.0,42.9,35.9,4.0,100.0,49.3,11.0,1.0,9.1,0.0,12.8,Match Report
40,2023-03-11,17:30,Premier League,Matchweek 27,Sat,Away,W,1,0,Crystal Palace,0,0,0,,1.0,0.0,0.0,0,0,0,0,1.0,2.0,50.0,20.0,0.0,10.0,25.5,1.0,0.0,21.0,7.0,0.0,0.0,2.0,27.3,Match Report
41,2023-03-14,20:00,Champions Lg,Round of 16,Tue,Home,W,7,0,de RB Leipzig,1,0,1,100.0,1.0,0.0,0.0,0,0,0,0,5.0,7.0,71.4,33.0,3.0,18.2,25.9,3.0,33.3,29.7,3.0,0.0,0.0,3.0,25.8,Match Report
42,2023-03-18,17:45,FA Cup,Quarter-finals,Sat,Home,W,6,0,Burnley,3,0,3,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
43,2023-04-01,12:30,Premier League,Matchweek 29,Sat,Home,W,4,1,Liverpool,1,1,0,0.0,0.0,0.6,-0.4,0,0,0,0,3.0,6.0,50.0,34.0,4.0,17.6,27.4,2.0,0.0,14.0,8.0,0.0,0.0,0.0,,Match Report
44,2023-04-08,17:30,Premier League,Matchweek 30,Sat,Away,W,4,1,Southampton,1,1,0,0.0,0.0,0.5,-0.5,0,0,0,0,2.0,7.0,28.6,42.0,4.0,16.7,28.4,5.0,0.0,21.4,5.0,0.0,0.0,0.0,16.5,Match Report
45,2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Home,W,3,0,de Bayern Munich,4,0,4,100.0,1.0,0.4,0.4,0,0,0,0,1.0,8.0,12.5,24.0,3.0,25.0,33.6,3.0,66.7,46.0,10.0,1.0,10.0,2.0,10.8,Match Report
46,2023-04-15,17:30,Premier League,Matchweek 31,Sat,Home,W,3,1,Leicester City,4,1,3,75.0,0.0,2.2,1.2,0,0,0,0,4.0,6.0,66.7,32.0,4.0,18.8,28.3,5.0,0.0,16.2,6.0,0.0,0.0,0.0,16.0,Match Report
47,2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Away,D,1,1,de Bayern Munich,6,1,5,100.0,0.0,1.7,0.7,1,1,0,0,6.0,15.0,40.0,32.0,10.0,34.4,33.1,7.0,57.1,45.6,15.0,1.0,6.7,0.0,13.0,Match Report
48,2023-04-22,16:45,FA Cup,Semi-finals,Sat,Neutral,W,3,0,Sheffield Utd,1,0,1,100.0,1.0,,,0,0,0,0,,,,,,,,,,,,,,,,Match Report
49,2023-04-26,20:00,Premier League,Matchweek 33,Wed,Home,W,4,1,Arsenal,2,1,1,50.0,0.0,0.2,-0.8,0,0,0,0,11.0,16.0,68.8,44.0,2.0,27.3,29.5,5.0,80.0,48.6,6.0,0.0,0.0,0.0,10.0,Match Report
50,2023-04-30,14:00,Premier League,Matchweek 34,Sun,Away,W,2,1,Fulham,1,1,0,0.0,0.0,0.7,-0.3,0,0,0,0,4.0,10.0,40.0,26.0,1.0,30.8,31.7,3.0,66.7,41.0,10.0,0.0,0.0,1.0,20.0,Match Report
51,2023-05-03,20:00,Premier League,Matchweek 28,Wed,Home,W,3,0,West Ham,2,0,2,100.0,1.0,0.5,0.5,0,0,0,0,1.0,4.0,25.0,45.0,4.0,8.9,19.9,2.0,0.0,12.5,8.0,1.0,12.5,3.0,20.2,Match Report
52,2023-05-06,15:00,Premier League,Matchweek 35,Sat,Home,W,2,1,Leeds United,2,1,1,50.0,0.0,0.4,-0.6,0,0,0,0,2.0,5.0,40.0,27.0,6.0,14.8,23.9,4.0,25.0,22.5,6.0,0.0,0.0,0.0,15.3,Match Report
53,,,,,,,39-8-6,138,42,,120,42,80,69.2,24.0,29.8,-4.2,5,5,0,0,148.0,324.0,45.7,1344.0,180.0,19.6,27.7,192.0,31.8,33.0,334.0,24.0,7.2,49.0,16.8,
