,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0
,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
35,2023-02-18,15:00,Premier League,Matchweek 24,Sat,Away,D,1,1,Nott'ham Forest,631.0,739.0,85.4,10854.0,3033.0,286.0,316.0,90.5,256.0,291.0,88.0,66.0,93.0,71.0,1,1.2,1.6,17.0,58.0,17.0,5.0,83.0,Match Report
36,2023-02-22,21:00,Champions Lg,Round of 16,Wed,Away,D,1,1,de RB Leipzig,659.0,736.0,89.5,12121.0,3093.0,287.0,310.0,92.6,288.0,308.0,93.5,81.0,96.0,84.4,1,1.1,0.7,11.0,43.0,6.0,1.0,42.0,Match Report
37,2023-02-25,17:30,Premier League,Matchweek 25,Sat,Away,W,4,1,Bournemouth,698.0,786.0,88.8,11181.0,3327.0,337.0,361.0,93.4,315.0,343.0,91.8,29.0,45.0,64.4,1,1.0,2.4,11.0,49.0,10.0,1.0,60.0,Match Report
38,2023-02-28,20:00,FA Cup,Fifth round proper,Tue,Away,W,3,0,Bristol City,,,,,,,,,,,,,,,3,,,,,,,,Match Report
39,2023-03-04,12:30,Premier League,Matchweek 26,Sat,Home,W,2,0,Newcastle Utd,482.0,575.0,83.8,8451.0,2629.0,215.0,235.0,91.5,205.0,234.0,87.6,46.0,77.0,59.7,2,1.2,1.0,9.0,33.0,11.0,1.0,45.0,Match Report
40,2023-03-11,17:30,Premier League,Matchweek 27,Sat,Away,W,1,0,Crystal Palace,564.0,661.0,85.3,9657.0,2587.0,276.0,308.0,89.6,232.0,255.0,91.0,47.0,72.0,65.3,0,0.9,0.9,10.0,57.0,10.0,1.0,52.0,Match Report
41,2023-03-14,20:00,Champions Lg,Round of 16,Tue,Home,W,7,0,de RB Leipzig,618.0,696.0,88.8,10945.0,3402.0,266.0,284.0,93.7,274.0,291.0,94.2,62.0,86.0,72.1,2,1.8,1.8,16.0,36.0,12.0,5.0,48.0,Match Report
42,2023-03-18,17:45,FA Cup,Quarter-finals,Sat,Home,W,6,0,Burnley,,,,,,,,,,,,,,,4,,,,,,,,Match Report
43,2023-04-01,12:30,Premier League,Matchweek 29,Sat,Home,W,4,1,Liverpool,712.0,791.0,90.0,12038.0,3432.0,345.0,369.0,93.5,306.0,329.0,93.0,50.0,67.0,74.6,3,2.6,1.7,15.0,45.0,14.0,1.0,58.0,Match Report
44,2023-04-08,17:30,Premier League,Matchweek 30,Sat,Away,W,4,1,Southampton,675.0,777.0,86.9,11478.0,3536.0,308.0,342.0,90.1,306.0,330.0,92.7,47.0,71.0,66.2,2,1.6,1.6,9.0,40.0,12.0,1.0,52.0,Match Report
45,2023-04-11,20:00,Champions Lg,Quarter-finals,Tue,Home,W,3,0,de Bayern Munich,373.0,468.0,79.7,6756.0,2045.0,162.0,180.0,90.0,169.0,195.0,86.7,38.0,66.0,57.6,3,1.4,1.7,14.0,24.0,10.0,5.0,33.0,Match Report
46,2023-04-15,17:30,Premier League,Matchweek 31,Sat,Home,W,3,1,Leicester City,719.0,799.0,90.0,12613.0,3019.0,341.0,364.0,93.7,299.0,324.0,92.3,71.0,92.0,77.2,2,1.1,0.4,8.0,57.0,6.0,2.0,58.0,Match Report
47,2023-04-19,21:00,Champions Lg,Quarter-finals,Wed,Away,D,1,1,de Bayern Munich,355.0,421.0,84.3,6762.0,2345.0,150.0,166.0,90.4,157.0,170.0,92.4,45.0,63.0,71.4,1,0.6,0.2,6.0,25.0,4.0,0.0,38.0,Match Report
48,2023-04-22,16:45,FA Cup,Semi-finals,Sat,Neutral,W,3,0,Sheffield Utd,,,,,,,,,,,,,,,1,,,,,,,,Match Report
49,2023-04-26,20:00,Premier League,Matchweek 33,Wed,Home,W,4,1,Arsenal,436.0,516.0,84.5,7699.0,2600.0,196.0,209.0,93.8,189.0,218.0,86.7,42.0,68.0,61.8,4,2.5,1.0,13.0,18.0,7.0,0.0,34.0,Match Report
50,2023-04-30,14:00,Premier League,Matchweek 34,Sun,Away,W,2,1,Fulham,587.0,683.0,85.9,10558.0,3102.0,301.0,325.0,92.6,212.0,235.0,90.2,70.0,97.0,72.2,1,1.1,1.5,9.0,42.0,10.0,2.0,44.0,Match Report
51,2023-05-03,20:00,Premier League,Matchweek 28,Wed,Home,W,3,0,West Ham,679.0,769.0,88.3,11138.0,3003.0,313.0,337.0,92.9,314.0,340.0,92.4,39.0,66.0,59.1,2,2.1,1.9,12.0,51.0,14.0,0.0,62.0,Match Report
52,,,,,,,38-8-6,136,41,,26144.0,29932.0,87.3,449805.0,129210.0,12313.0,13278.0,92.7,11091.0,12186.0,91.0,2261.0,3275.0,69.0,95,66.2,63.4,545.0,2052.0,497.0,93.0,2370.0,
